Thesaures,Instruction,Category,no. of operands
store;move;transfer;register;address;memory;location;accumulator;data,MVI,7;10;12,2
move;address;memory;location;transfer;register,MOV,8;9;11,2
copy;store;accumulator;acc;move;transfer;address;location,STA,14,1
addition;register;accumulator;add;sum;total;summation;+,ADD,13;15;16;17,1
terminate;end,HLT,0,0
move;get;contents;memory;location;accumulator;acc,LDA,18,1
load;initialize;pointer;points;address;location;memory;hl;h;register,LXI,10;19,2
get;contents;memory;location;accumulator;acc;B;D,LDAX,13,1
move;store;transfer;register;accumulator;acc;load;B;D,STAX,17,1
subtract;minus;-;register;difference,SUB,13;15,1
add;carry;high;byte;result,ADC,13;15,1
jump;to;location;line;address,JMP,19,1
if;carry;flag;c=1;true;line;location;address;jump,JC,19,1
if;not;jump;carry;flag;1;location;address;c;c!=1;false;reset;set,JNC,19,1
if;sign;flag;s=0;location;address;line;reset;not;set;false;jump,JP,19,1
if;sign;flag;s=1;location;address;line;set;true;jump,JM,19,1
if;zero;flag;z=1;set;true;location;address;line;set;true;jump,JZ,19,1
if;zero;flag;not;set;z=0;false;location;address;line;jump,JNZ,19,1
if;parity;flag;p=1;set;true;location;address;line;jump,JPE,19,1
if;parity;flag;p=0;reset;false;location;address;line;jump,JPO,19,1
